Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ 0.000422402 28.0582 -24.4681 -0.0725971 0.0226302 5.09912 ],0.0520965,60,400,1.18453,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000279403 0.173728 0.252642 -0.0710297 0.175359 5.05093 ],0.052021,60,400,1.09102,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0012734 15.4427 -14.4828 -0.0717957 0.0672105 5.1684 ],0.0529536,60,400,1.17924,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000639158 4.17578 4.03984 -0.0693896 0.0099718 5.49928 ],0.051822,60,400,1.21733,[ 0.0554829 0.0151042 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000180834 10.8994 -10.3178 -0.0871706 0.185761 4.33455 ],0.0532421,60,400,1.17455,[ 0.0554818 0.015103 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000458145 0.892866 -0.528883 -0.0654165 0.201883 5.49438 ],0.226897,60,400,1.09733,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 2.49778e-06 8.76576 -7.54504 -0.102967 0.115854 3.98991 ],0.233538,60,400,1.10923,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.00023626 13.3074 -8.30407 -0.0547516 0.00566031 5.45863 ],0.227993,60,400,1.29078,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000897432 15.8858 -10.0068 -0.0680159 0.0108495 5.14899 ],0.228942,60,400,1.20622,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000960186 8.82568 -7.69909 -0.0687998 0.0677459 5.31361 ],0.228873,60,400,2.2027,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000530407 10.6594 -8.70906 -0.0589078 0.0204271 5.46112 ],0.227823,60,400,2.08639,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000178814 2.91937 -1.92961 -0.0648292 0.0654786 5.26712 ],0.226832,60,400,2.05101,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000590482 5.83694 -5.5309 -0.071499 0.257185 5.4104 ],0.228935,60,400,1.99263,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000304514 4.31218 -1.77176 -0.0622474 0.0203234 5.21854 ],0.227637,60,400,2.10211,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.000758466 1.09026 -0.661053 -0.0570407 0.0945075 5.22472 ],0.231639,60,400,1.98108,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 8.05895e-05 13.9487 -12.0202 -0.0569581 0.0269785 5.47432 ],0.226678,60,400,2.04729,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 7.48607e-05 3.76073 -3.03033 -0.0601785 0.0769452 5.451 ],0.226019,60,600,2.98246,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,600,0.6,0.99
False,[ 1.31611e-06 16.6438 -15.8668 -0.0602537 0.0755663 5.49981 ],0.225693,60,1000,4.94226,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.120403 0.0235573 -0.380764 -0.419429 3.13689 43.1585 ],0.197481,60,1000,4.77217,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.123263 -0.131729 1.66133 -2.74813 200.258 313.255 ],0.213416,600,1000,48.8187,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],600,0.01,1000,0.6,0.99
False,[ 1.98328e-08 18.3904 -18.0484 -0.0603307 0.17251 5.49954 ],0.225691,600,1000,49.8516,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],600,0.01,1000,0.6,0.99
False,[ 1.44664e-07 12.4245 -11.9036 -0.0604336 0.113355 5.49999 ],22.5693,600,1000,49.9644,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],600,0.01,1000,0.6,0.99
False,[ 7.84149e-08 19.8239 -19.1163 -0.060269 0.0833025 5.49998 ],22.569,60,1000,4.97546,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.91579e-09 1.2637 -0.78161 -0.0603022 0.122528 5.5 ],22.569,60,1000,4.97795,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 4.75555e-08 -9.66773 9.83261 -0.060641 0.367179 5.49981 ],0.225685,60,1000,4.87358,[ 0.0554827 0.0151039 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 5.19564e-10 11.3246 -10.465 -0.0603296 0.0687947 5.5 ],0.22569,60,1000,5.0587,[ 0.0554822 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 3.28549e-09 14.7417 -14.4338 -0.0603175 0.192103 5.49999 ],0.22569,60,1000,4.96771,[ 0.0554821 0.0151033 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
