Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
False,[ 1.79173e-06 0.182531 0.0317042 -0.167394 1.11307 2.74812 ],0.0567658,24,2000,2.34303,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 3.15163e-05 0.548215 -0.445425 -0.0631422 0.633666 5.4682 ],0.0510617,24,2000,2.29037,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.00285465 -0.000359389 0.209033 -0.16564 1.3606 3.67751 ],0.059706,24,2000,2.34021,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 1.27691e-09 17.2622 -2.42656 -0.169012 0.0164077 2.79329 ],0.057506,24,2000,2.59135,[ 0.0554829 0.0151042 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.00226374 0.732507 -0.24478 -0.0763065 0.156381 5.39411 ],0.0535305,24,2000,2.42739,[ 0.0554818 0.015103 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 3.80422e-06 1.25693 -0.032541 -0.067468 0.0604751 5.07701 ],0.226824,24,2000,2.25419,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 2.9259e-06 8.38421 -7.73075 -0.160534 0.33101 2.71706 ],0.239561,24,2000,2.54369,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.00010856 0.642193 -0.426036 -0.170949 1.2513 3.11892 ],0.261473,24,2000,2.33768,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 7.44161e-05 0.490463 -0.208982 -0.0617088 0.219905 5.49938 ],0.225749,24,2000,2.56972,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 1.16888e-08 1.2759 -0.107152 -0.0607451 0.0518246 5.49993 ],0.225695,24,2000,4.12821,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0742816 -0.047359 0.062029 -0.167064 2.2339 2.56337 ],0.186715,24,2000,0.87471,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.074303 0.319681 0.00558164 -0.706954 2.42904 3.66192 ],0.176937,24,2000,0.882345,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0743406 0.652297 -0.103471 -1.27282 2.1319 4.01418 ],0.179421,24,2000,0.901146,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0758306 -0.0735119 -1.41757 1.38063 2.49997 2.61943 ],0.970118,24,2000,0.880693,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0741596 -0.012164 0.0567756 -0.217748 2.07306 2.74741 ],0.187005,24,2000,0.899857,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0744647 0.107058 -0.0409142 -0.36997 1.63806 3.67559 ],0.196265,24,2000,0.884663,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0746717 -0.065125 -0.0779384 0.0048662 2.26593 2.51913 ],0.223197,24,2000,0.916468,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0743214 0.281121 -0.0400609 -0.618417 2.35569 3.82455 ],0.18014,24,2000,0.924821,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0532426 -0.0430163 -0.0557327 0.126267 1.45583 2.53252 ],1.85356,24,2000,0.891893,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0514 -0.0498218 0.0252581 0.0688059 1.29594 4.72067 ],0.373784,24,2000,0.918994,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.127405 0.0255578 -0.333819 -0.156656 0.413065 5.47168 ],1.23196,24,2000,0.90525,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
True,[ 0.148206 1.00817 -4.98509 -0.24379 0.0255371 4.14354 ],0.000995877,24,2000,0.615954,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
True,[ 0.0527442 0.17012 -0.277265 0.0663076 0.315161 2.99453 ],0.000995115,24,2000,0.501326,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0930821 0.257571 -0.539524 -0.056707 0.285214 5.33261 ],0.43179,24,2000,0.894181,[ 0.0262773 0.0408664 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0703823 -0.0618527 -0.0523766 0.0217263 0.602586 2.50891 ],0.22292,24,2000,0.891507,[ 0.0262726 0.0408711 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0331143 0.0184825 -0.272905 0.324894 1.66144 2.73722 ],5.42047,24,2000,0.898412,[ 0.0262733 0.0408704 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
False,[ 0.0831681 -0.0612914 0.0533188 -0.0516072 1.91826 2.8566 ],2.58598,24,2000,0.884568,[ 0.0262742 0.0408689 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
False,[ 0.0714079 1.28729 -1.67342 0.00703647 0.134852 3.16125 ],0.669055,24,2000,0.897256,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
False,[ 0.0623443 0.00517489 -0.147096 0.0454582 0.424422 3.29239 ],0.494948,24,2000,0.906426,[ 0.0262767 0.0408664 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
False,[ 0.0753183 4.26618 -8.79912 -0.00896659 0.0111455 2.51286 ],0.587474,24,2000,0.91927,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
False,[ 0.0715311 -0.0605366 0.0415832 0.00378779 1.98774 2.56383 ],0.557041,24,2000,0.874687,[ 0.0262758 0.0408677 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
True,[ 0.0219348 0.062052 -0.21561 0.251694 1.19126 3.3517 ],0.000999944,24,2000,0.703213,[ 0.0262738 0.0408698 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1.5 4.5 6 6 0.25 0.3 ]
