Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
True,[ 0.140967 4.33573 -3.59046 -0.449882 0.221915 5.12552 ],0.00888997,60,36,0.0059924,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
True,[ 0.0252521 0.0901006 -0.219152 0.0819503 0.870305 4.70606 ],0.00939018,60,22,0.0033821,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
True,[ 0.00936855 5.82926 -4.0019 0.119297 0.129335 5.07504 ],0.00999632,60,68,0.0291374,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
True,[ 0.227015 4.67124 -4.6942 -0.625056 0.0803251 3.9266 ],0.00980183,60,19,0.0070661,[ 0.0554829 0.0151042 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
True,[ 0.146571 2.92098 -2.64298 -0.356464 0.0820501 4.14815 ],0.00679008,60,64,0.0104066,[ 0.0554818 0.015103 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0136648 5.61909 -5.84524 0.166471 0.0166134 2.52103 ],0.0722453,60,400,0.0810627,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0142099 5.90684 -6.05944 0.161427 0.00576798 2.51095 ],0.0722422,60,400,0.0750965,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0116504 12.683 -12.924 0.176078 0.0156269 2.54394 ],0.0722705,60,400,0.119432,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.013771 9.92503 -6.92916 0.154285 0.0041636 2.53657 ],0.072274,60,400,0.073329,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.014497 14.297 -14.1015 0.159906 0.00567716 2.52286 ],0.0722466,60,400,0.0655545,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0132511 4.00014 -4.21825 0.164084 0.000261554 2.57015 ],0.0722684,60,400,0.0695719,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
False,[ 0.0153758 5.88101 -5.56705 0.152063 0.0275193 2.53414 ],0.0722625,60,400,0.067388,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,400,0.6,1
