Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Natural Selection Rate,Probability of Mutation,Beta Distribution alpha,Strategy
False,[ 0.0933834 0.0078291 0.195414 -0.327693 2.0593 3.42234 ],0.00551468,8,400,0.0318466,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.107842 -0.00514174 0.152341 -0.314697 1.75213 4.21934 ],0.005572,8,400,0.0362915,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0863616 0.103017 -0.0528934 -0.197347 1.83391 3.73203 ],0.00587273,8,400,0.0558088,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.103794 0.0181267 0.084086 -0.266812 1.78563 4.61241 ],0.00578103,8,400,0.0490769,[ 0.0554829 0.0151042 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0695376 0.0314036 0.0986794 -0.182616 2.29312 3.74794 ],0.00550572,8,400,0.0355729,[ 0.0554818 0.015103 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.101873 -0.0419115 0.662813 -0.712118 2.02988 3.01501 ],0.0777662,8,400,0.0482998,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.081482 0.0791755 0.046323 -0.247293 2.40724 3.04793 ],0.0771416,8,400,0.0547709,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0686111 0.0893454 -0.0230031 -0.136755 2.21816 3.34969 ],0.0757745,8,400,0.0508953,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.094649 0.125537 -0.0848536 -0.218763 2.20948 3.70792 ],0.0792564,8,400,0.0545458,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.129481 -0.00525684 0.398616 -0.635351 2.38742 3.50779 ],0.0785789,8,400,0.0494827,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
