Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
False,[ 0.000136929 8.23621 -1.46494 0.132729 0.0162128 4.73079 ],0.00507319,24,2000,0.0585225,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0154102 1.08803 -1.03998 0.149554 0.128549 2.50394 ],0.00497118,24,2000,0.0686036,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0195038 5.55608 -4.4683 0.128972 0.0113167 2.50288 ],0.0049787,24,2000,0.0753402,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.052376 -0.043132 0.181145 -0.102244 2.09467 5.41178 ],0.00520255,24,2000,0.0532922,[ 0.0554829 0.0151042 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0174851 1.01284 -0.898237 0.13837 0.13803 2.50093 ],0.0052248,24,2000,0.0550206,[ 0.0554818 0.015103 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.017505 2.08238 -0.831532 0.11627 0.034604 2.82358 ],0.0724738,24,2000,0.0628404,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0145115 1.08576 -1.07298 0.159778 0.127781 2.50102 ],0.0722357,24,2000,0.0597393,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0545435 0.175288 0.0377988 -0.0430321 0.314355 5.47769 ],0.0739512,24,2000,0.0546587,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0135228 11.5314 -8.18723 0.163619 0.000337239 2.52392 ],0.0722432,24,2000,0.0766602,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
False,[ 0.0317781 0.164373 -0.0695177 0.0555887 0.557953 2.50516 ],0.0729234,24,2000,0.0628412,[ 0.0554824 0.0151036 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],24,0.001,2000,2.05,2.05,6,0.729,1,[ 1e+06 1e+06 1e+06 1e+06 1e+06 1e+06 ]
