Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ 0.0868332 -0.011048 0.084661 -0.1762 2.21338 4.9773 ],0.000946546,60,400,0.215646,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,400,0.6,1
False,[ 0.0908814 -0.0193358 0.13104 -0.224432 2.36864 4.72439 ],0.00100812,60,400,0.199234,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,400,0.6,1
False,[ 0.0989092 -0.0256661 0.110306 -0.228828 2.42826 5.44396 ],0.000883218,60,400,0.191408,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,400,0.6,1
True,[ 0.000523785 -0.00018854 -0.00113991 0.000910041 2.30707 3.25688 ],9.60039e-05,60,341,0.148941,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,400,0.6,0.99
False,[ 0.0521795 -0.0170049 -0.000474673 0.00317809 0.431317 3.81493 ],0.00307732,60,400,0.186037,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,400,0.6,0.99
False,[ 0.04915 -0.0134855 0.0202493 0.00439301 0.153307 2.5114 ],0.00262165,60,1000,0.447825,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
False,[ 0.0476018 -0.00893511 0.0218872 -0.00853156 0.117787 5.48905 ],0.00248716,60,1000,0.443677,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0502826 -0.0221433 -0.0640684 0.0577883 2.34837 3.59605 ],8.36924e-05,60,131,0.060798,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0500826 -0.0153018 -0.070771 0.0504253 2.21908 3.27304 ],3.07261e-05,60,136,0.0570027,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0495901 -0.0156069 -0.0270708 0.0326373 2.33349 3.75246 ],7.6549e-05,60,159,0.0835785,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0596879 -0.024269 0.000737513 -0.0305007 1.38209 5.44256 ],9.30084e-05,60,182,0.097118,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0526271 -0.0220014 -0.0206453 -0.0137624 0.319255 3.05308 ],9.21607e-05,60,223,0.130057,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0555632 -0.0201252 -0.0184417 -0.0202996 0.573682 4.51754 ],4.0253e-05,60,163,0.0811753,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.049857 -0.0158209 -0.0156882 0.00837524 1.18061 3.41009 ],7.85426e-05,60,163,0.0791604,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0521623 -0.0123749 -0.0257326 0.00246144 1.15861 2.86845 ],4.65968e-05,60,149,0.0760291,[ 0.0262773 0.0408664 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0537116 -0.0194423 -0.00405122 -0.00869763 1.0985 4.50628 ],3.63685e-05,60,175,0.0828938,[ 0.0262725 0.040871 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0536294 -0.0203202 0.00837487 -0.0138748 1.94696 3.17973 ],3.91483e-05,60,231,0.112147,[ 0.0262726 0.0408711 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0524169 -0.0204064 0.0472778 -0.0431437 1.81301 2.55117 ],7.98071e-05,60,132,0.0605477,[ 0.0262769 0.0408667 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0532459 -0.0156881 -0.0199777 0.00449212 2.0258 3.63658 ],7.8385e-05,60,131,0.0696411,[ 0.0262733 0.0408704 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0512347 -0.0179505 -0.00868225 0.00573434 1.50435 3.19371 ],4.28518e-05,60,185,0.0924084,[ 0.0262742 0.0408689 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0514784 -0.0188471 -0.0152557 -0.00579734 0.418637 3.77735 ],8.73681e-05,60,198,0.0950873,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0557041 -0.0220626 0.00024828 -0.0225988 0.719213 4.59193 ],9.80365e-05,60,208,0.124849,[ 0.0262767 0.0408664 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0531813 -0.0151388 -0.00936937 -0.00966026 1.48612 3.72264 ],7.35568e-05,60,231,0.113345,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0507165 -0.0114795 -0.0193877 0.00360808 1.25172 4.19319 ],5.60608e-05,60,157,0.073397,[ 0.0262758 0.0408677 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
True,[ 0.0534578 -0.0157727 -0.0203327 0.00276471 1.83047 4.95451 ],8.11532e-05,60,121,0.0842714,[ 0.0262738 0.0408698 0 0 1.89159 1.89159 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.0001,1000,0.6,0.99
