Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Natural Selection Rate,Probability of Mutation,Beta Distribution alpha,Strategy
False,[ 0.165302 0.0647907 -0.430889 -0.939212 1.14421 0.0172218 ],0.635627,8,100,0.0348365,[ 0.0547339 0.0147548 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.00702392 0.166121 -0.265549 0.252053 1.59406 3.72012 ],0.0296486,8,100,0.0079533,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.268971 -0.210229 1.30775 -1.72745 2.33237 3.95554 ],0.079889,8,100,0.0178673,[ 0.0547325 0.0147533 0 0 3.21143 3.21143 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.038274 0.043801 -0.092165 0.04941 2.43288 2.6419 ],0.0953028,8,100,0.0067207,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0446433 0.114782 1.52166 -1.86718 2.14832 2.62964 ],0.00849162,8,100,0.006788,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0686398 0.0689687 0.151195 -0.58473 2.09007 3.06303 ],0.0125156,8,100,0.0044815,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0372103 0.13994 -0.389234 0.221932 1.36545 2.63288 ],0.0377454,8,100,0.0076346,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0554186 0.0500224 -0.290864 -0.0263338 0.187891 4.37451 ],0.0062214,8,100,0.0078799,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.116696 0.0770789 -0.10366 -0.395828 0.526284 2.56159 ],0.0776594,8,100,0.0088514,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.123551 0.0815936 -0.313453 -0.232194 0.598405 4.66534 ],0.0498819,8,100,0.017969,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0782929 0.126337 -0.00477562 -0.16072 0.14787 3.27823 ],0.0375934,8,100,0.0090098,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.15071 0.0958082 -0.161999 -0.495812 1.12321 4.34885 ],0.151606,8,100,0.0077053,[ 0.0262773 0.0408664 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.114394 -0.0465897 -0.0678087 -0.202559 1.71244 3.48357 ],0.0258788,8,100,0.0077163,[ 0.0262725 0.040871 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.164593 0.0823354 -0.792065 -0.00927705 2.24644 4.59167 ],0.209035,8,100,0.0077475,[ 0.0262726 0.0408711 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.102295 -0.00601361 0.342397 -0.589153 1.7164 2.90062 ],0.0396725,1,100,0.0025656,[ 0.0262769 0.0408667 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Remove individual
False,[ 0.0639716 -0.0340763 -0.0649653 0.0257016 2.03019 2.82997 ],0.00286025,8,100,0.0078558,[ 0.0262733 0.0408704 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0109364 0.0343121 0.521395 -0.348363 2.23819 3.01735 ],0.0496808,8,100,0.0223095,[ 0.0262742 0.0408689 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.138107 -0.00833821 0.276608 -0.625835 1.66359 3.58803 ],0.0683406,8,100,0.0086993,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.162434 0.0169607 -0.290258 -0.383286 0.157435 4.6968 ],0.0552676,8,100,0.0073481,[ 0.0262767 0.0408664 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0249565 0.140088 0.0554727 -0.118493 2.17241 2.66733 ],0.0811614,8,100,0.0166665,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0235234 0.0747824 -0.504543 0.417408 1.89687 3.13858 ],0.0100729,8,100,0.0076187,[ 0.0262758 0.0408677 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
False,[ 0.0364334 0.090955 -0.777587 0.584751 2.33089 2.87946 ],0.0276669,8,100,0.0081612,[ 0.0262738 0.0408698 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],10,1e-05,100,0.4,0.35,6,Keep same individual
